Country,Export (USD),Year
China,$314.29B,2018
United States,$45.87B,2018
India,$17.90B,2018
Japan,$16.53B,2018
Thailand,$13.45B,2018
Singapore,$12.33B,2018
"Other Asia, nes",$11.73B,2018
Vietnam,$10.66B,2018
Germany,$9.72B,2018
Netherlands,$9.11B,2018
South Korea,$7.80B,2018
United Arab Emirates,$7.57B,2018
United Kingdom,$6.40B,2018
Macau,$6.30B,2018
Switzerland,$5.81B,2018
Australia,$4.62B,2018
France,$4.56B,2018
Malaysia,$4.48B,2018
Mexico,$4.39B,2018
Philippines,$3.86B,2018
Russia,$3.73B,2018
Italy,$3.62B,2018
Indonesia,$3.19B,2018
Belgium,$2.66B,2018
Canada,$2.36B,2018
Spain,$2.17B,2018
Israel,$2.15B,2018
Hungary,$1.95B,2018
Bangladesh,$1.83B,2018
Czech Republic,$1.73B,2018
Poland,$1.67B,2018
Brazil,$1.60B,2018
South Africa,$1.36B,2018
Turkey,$1.05B,2018
Saudi Arabia,$1.00B,2018
Cambodia,$965.33M,2018
Egypt,$890.91M,2018
Sweden,$844.93M,2018
Austria,$808.28M,2018
Colombia,$794.18M,2018
Nigeria,$791.55M,2018
Pakistan,$772.61M,2018
Chile,$755.45M,2018
New Zealand,$660.57M,2018
Sri Lanka,$519.56M,2018
Peru,$514.83M,2018
Argentina,$481.72M,2018
Romania,$476.96M,2018
Denmark,$464.07M,2018
Finland,$389.08M,2018
Portugal,$375.08M,2018
Qatar,$325.41M,2018
Ireland,$313.43M,2018
Ukraine,$311.85M,2018
Togo,$308.20M,2018
Slovakia,$274.53M,2018
Panama,$262.04M,2018
Myanmar,$256.00M,2018
Lithuania,$239.35M,2018
Iran,$230.90M,2018
Jordan,$224.52M,2018
Nepal,$221.09M,2018
Kazakhstan,$204.71M,2018
Guatemala,$198.80M,2018
Estonia,$193.70M,2018
Algeria,$192.67M,2018
Norway,$187.25M,2018
Morocco,$184.85M,2018
Tunisia,$184.39M,2018
Kenya,$183.53M,2018
Greece,$179.28M,2018
Senegal,$177.19M,2018
Paraguay,$173.58M,2018
Costa Rica,$166.38M,2018
Oman,$159.62M,2018
Ethiopia,$159.37M,2018
Kuwait,$147.32M,2018
