Country,Value,Year
China,$280.98B,2018
"Other Asia, nes",$43.29B,2018
Singapore,$40.42B,2018
South Korea,$35.58B,2018
Japan,$34.88B,2018
United States,$31.76B,2018
Malaysia,$24.14B,2018
Switzerland,$15.80B,2018
Thailand,$11.88B,2018
India,$11.85B,2018
Philippines,$11.10B,2018
United Kingdom,$10.00B,2018
Vietnam,$8.44B,2018
Australia,$7.16B,2018
Germany,$6.95B,2018
France,$6.78B,2018
Italy,$6.66B,2018
United Arab Emirates,$4.43B,2018
Belgium,$3.31B,2018
Indonesia,$2.89B,2018
South Africa,$2.85B,2018
Brazil,$2.74B,2018
Netherlands,$2.71B,2018
Israel,$2.40B,2018
Canada,$2.21B,2018
Chile,$1.14B,2018
Spain,$1.02B,2018
Mexico,$987.28M,2018
Ireland,$944.94M,2018
Macau,$941.22M,2018
Russia,$849.89M,2018
Qatar,$789.65M,2018
Turkey,$760.39M,2018
New Zealand,$686.67M,2018
Denmark,$537.75M,2018
Saudi Arabia,$528.98M,2018
Hungary,$360.84M,2018
Poland,$351.64M,2018
Botswana,$341.36M,2018
Austria,$340.48M,2018
Czech Republic,$307.49M,2018
Cambodia,$298.06M,2018
Sweden,$267.13M,2018
Argentina,$257.88M,2018
Suriname,$225.45M,2018
Slovenia,$224.18M,2018
Malta,$213.60M,2018
Norway,$181.89M,2018
Bangladesh,$170.62M,2018
Costa Rica,$158.46M,2018
Luxembourg,$149.75M,2018
Bahrain,$147.79M,2018
Portugal,$147.43M,2018
Peru,$144.88M,2018
Colombia,$133.67M,2018
Sri Lanka,$132.91M,2018
Morocco,$121.28M,2018
El Salvador,$118.58M,2018
Iran,$117.32M,2018
Finland,$114.73M,2018
Pakistan,$107.05M,2018
Oman,$104.16M,2018
Myanmar,$101.09M,2018
Uganda,$80.05M,2018
Egypt,$75.40M,2018
Bulgaria,$64.77M,2018
Uruguay,$62.86M,2018
Kuwait,$61.72M,2018
Kenya,$57.82M,2018
Ukraine,$57.05M,2018
Namibia,$52.90M,2018
Cuba,$52.70M,2018
Papua New Guinea,$52.53M,2018
Jordan,$50.97M,2018
Greece,$50.62M,2018
Romania,$50.42M,2018
Croatia,$46.24M,2018
Tanzania,$41.91M,2018
Lithuania,$41.39M,2018
Angola,$37.07M,2018
Ecuador,$36.52M,2018
Zimbabwe,$34.12M,2018
Nigeria,$31.04M,2018
Slovakia,$30.00M,2018
Nicaragua,$29.90M,2018
Panama,$26.31M,2018
Senegal,$25.00M,2018
Lebanon,$24.13M,2018
Zambia,$23.94M,2018
Guyana,$23.61M,2018
Guatemala,$21.90M,2018
Dominican Republic,$20.96M,2018
Cyprus,$19.33M,2018
Venezuela,$17.93M,2018
Estonia,$16.72M,2018
Ghana,$15.74M,2018
Latvia,$13.97M,2018
Yemen,$12.87M,2018
Serbia,$12.29M,2018
Paraguay,$12.08M,2018
Honduras,$11.54M,2018
Ethiopia,$11.34M,2018
Barbados,$10.77M,2018
Tunisia,$10.26M,2018
Mozambique,$9.42M,2018
Laos,$9.24M,2018
Mauritius,$8.74M,2018
Moldova,$8.72M,2018
Belarus,$7.29M,2018
Guam,$6.55M,2018
Brunei,$6.49M,2018
Madagascar,$6.31M,2018
Togo,$6.01M,2018
Maldives,$5.93M,2018
"Oceania, nes",$5.02M,2018
Georgia,$4.06M,2018
Bolivia,$3.92M,2018
Jamaica,$3.62M,2018
Iceland,$3.53M,2018
Haiti,$3.35M,2018
Guinea,$3.30M,2018
Republic of the Congo,$3.18M,2018
Mauritania,$3.09M,2018
Montenegro,$3.02M,2018
Solomon Islands,$2.75M,2018
Fiji,$2.69M,2018
Algeria,$2.65M,2018
Seychelles,$2.50M,2018
Iraq,$2.32M,2018
Nepal,$2.27M,2018
Gabon,$2.02M,2018
Kazakhstan,$1.81M,2018
Malawi,$1.75M,2018
Djibouti,$1.65M,2018
Vanuatu,$1.51M,2018
Mongolia,$1.51M,2018
Uzbekistan,$1.43M,2018
Macedonia,$1.33M,2018
Cameroon,$1.29M,2018
Trinidad And Tobago,$970.89K,2018
Azerbaijan,$936.36K,2018
Benin,$862.60K,2018
Liberia,$856.92K,2018
Congo,$847.74K,2018
Belize,$819.71K,2018
Sudan,$713.37K,2018
Ivory Coast,$675.71K,2018
Rwanda,$641.48K,2018
Mali,$583.92K,2018
Bahamas,$573.13K,2018
Somalia,$556.80K,2018
Cape Verde,$545.36K,2018
Albania,$522.81K,2018
Kyrgyzstan,$495.88K,2018
Sierra Leone,$467.28K,2018
Armenia,$411.65K,2018
Aruba,$387.16K,2018
American Samoa,$355.95K,2018
Swaziland,$335.15K,2018
Bosnia And Herzegovina,$308.64K,2018
Central African Republic,$248.87K,2018
Andorra,$221.12K,2018
FS Micronesia,$194.56K,2018
Tokelau,$182.00K,2018
Afghanistan,$175.35K,2018
Turkmenistan,$148.59K,2018
Kiribati,$137.64K,2018
Gambia,$137.52K,2018
Gibraltar,$129.54K,2018
Marshall Islands,$125.67K,2018
Northern Mariana Islands,$102.88K,2018
San Marino,$101.18K,2018
"Other Europe, nes",$91.17K,2018
Bhutan,$68.52K,2018
South Sudan,$60.84K,2018
Syria,$53.49K,2018
Niger,$27.66K,2018
Samoa,$25.33K,2018
Chad,$24.30K,2018
Tonga,$23.68K,2018
Burkina Faso,$21.02K,2018
"America, nes",$18.79K,2018
Comoros,$15.02K,2018
Lesotho,$13.13K,2018
Burundi,$10.96K,2018
"Other Africa, nes",$10.16K,2018
Libya,$8.71K,2018
Tajikistan,$3.62K,2018
Equatorial Guinea,$3.00K,2018
Guinea Bissau,$2.55K,2018
Vatican City State,$2.32K,2018
United States Minor Outlying Islands,$1.28K,2018
Grenada,$298,2018
Nauru,$73,2018
North Korea,$1,2018
Greenland,$64.20K,2017
Sao Tome And Principe,$6.20K,2017
Hong Kong,$950.68M,2016
Pitcairn Islands,$708.30K,2016
Tuvalu,$659.27K,2016
Bermuda,$4.38M,2006
Serbia and Montenegro,$155.26K,2005
Netherlands Antilles,$217.37K,2002
New Caledonia,$17.56M,1999
US Misc. Pacific Islands,$7.47M,1999
St Kitts and Nevis,$32.54K,1998
Niue,$31.88K,1998
