country,year,code,export,import,balance
China,2018,CHN,314290000000.0,280980000000.0,33310000000.0
United States,2018,USA,45870000000.0,31760000000.0,14110000000.0
India,2018,IND,17900000000.0,11850000000.0,6050000000.0
Japan,2018,JPN,16530000000.000002,34880000000.0,-18350000000.0
Thailand,2018,THA,13450000000.0,11880000000.0,1570000000.0
Singapore,2018,SGP,12330000000.0,40420000000.0,-28090000000.0
Vietnam,2018,VNM,10660000000.0,8439999999.999999,2220000000.000001
Germany,2018,DEU,9720000000.0,6950000000.0,2770000000.0
Netherlands,2018,NLD,9110000000.0,2710000000.0,6400000000.0
South Korea,2018,KOR,7800000000.0,35580000000.0,-27780000000.0
United Arab Emirates,2018,ARE,7570000000.0,4430000000.0,3140000000.0
United Kingdom,2018,GBR,6400000000.0,10000000000.0,-3600000000.0
Macau,2018,MAC,6300000000.0,941220000.0,5358780000.0
Switzerland,2018,CHE,5810000000.0,15800000000.0,-9990000000.0
Australia,2018,AUS,4620000000.0,7160000000.0,-2540000000.0
France,2018,FRA,4560000000.0,6780000000.0,-2220000000.0
Malaysia,2018,MYS,4480000000.0,24140000000.0,-19660000000.0
Mexico,2018,MEX,4390000000.0,987280000.0,3402720000.0
Philippines,2018,PHL,3860000000.0,11100000000.0,-7240000000.0
Russia,2018,RUS,3730000000.0,849890000.0,2880110000.0
Italy,2018,ITA,3620000000.0,6660000000.0,-3040000000.0
Indonesia,2018,IDN,3190000000.0,2890000000.0,300000000.0
Belgium,2018,BEL,2660000000.0,3310000000.0,-650000000.0
Canada,2018,CAN,2360000000.0,2210000000.0,150000000.0
Spain,2018,ESP,2170000000.0,1020000000.0,1150000000.0
Israel,2018,ISR,2150000000.0,2400000000.0,-250000000.0
Hungary,2018,HUN,1950000000.0,360840000.0,1589160000.0
Bangladesh,2018,BGD,1830000000.0,170620000.0,1659380000.0
Czech Republic,2018,CZE,1730000000.0,307490000.0,1422510000.0
Poland,2018,POL,1670000000.0,351640000.0,1318360000.0
Brazil,2018,BRA,1600000000.0,2740000000.0,-1140000000.0
South Africa,2018,ZAF,1360000000.0,2850000000.0,-1490000000.0
Turkey,2018,TUR,1050000000.0,760390000.0,289610000.0
Saudi Arabia,2018,SAU,1000000000.0,528980000.0,471020000.0
Cambodia,2018,KHM,965330000.0,298060000.0,667270000.0
Egypt,2018,EGY,890910000.0,75400000.0,815510000.0
Sweden,2018,SWE,844930000.0,267130000.0,577800000.0
Austria,2018,AUT,808280000.0,340480000.0,467800000.0
Colombia,2018,COL,794180000.0,133669999.99999999,660510000.0
Nigeria,2018,NGA,791550000.0,31040000.0,760510000.0
Pakistan,2018,PAK,772610000.0,107050000.0,665560000.0
Chile,2018,CHL,755450000.0,1140000000.0,-384550000.0
New Zealand,2018,NZL,660570000.0,686670000.0,-26100000.0
Sri Lanka,2018,LKA,519559999.99999994,132910000.0,386649999.99999994
Peru,2018,PER,514830000.00000006,144880000.0,369950000.00000006
Argentina,2018,ARG,481720000.0,257880000.0,223840000.0
Romania,2018,ROU,476960000.0,50420000.0,426540000.0
Denmark,2018,DNK,464070000.0,537750000.0,-73680000.0
Finland,2018,FIN,389080000.0,114730000.0,274350000.0
Portugal,2018,PRT,375080000.0,147430000.0,227650000.0
Qatar,2018,QAT,325410000.0,789650000.0,-464240000.0
Ireland,2018,IRL,313430000.0,944940000.0,-631510000.0
Ukraine,2018,UKR,311850000.0,57050000.0,254800000.0
Togo,2018,TGO,308200000.0,6010000.0,302190000.0
Slovakia,2018,SVK,274530000.0,30000000.0,244530000.0
Panama,2018,PAN,262040000.00000003,26310000.0,235730000.00000003
Myanmar,2018,MMR,256000000.0,101090000.0,154910000.0
Lithuania,2018,LTU,239350000.0,41390000.0,197960000.0
Iran,2018,IRN,230900000.0,117320000.0,113580000.0
Jordan,2018,JOR,224520000.0,50970000.0,173550000.0
Nepal,2018,NPL,221090000.0,2270000.0,218820000.0
Kazakhstan,2018,KAZ,204710000.0,1810000.0,202900000.0
Guatemala,2018,GTM,198800000.0,21900000.0,176900000.0
Estonia,2018,EST,193700000.0,16719999.999999998,176980000.0
Algeria,2018,DZA,192670000.0,2650000.0,190020000.0
Norway,2018,NOR,187250000.0,181890000.0,5360000.0
