country,export,year,code,log(export)
China,314290000000.0,2018,CHN,11.497330562965052
United States,45870000000.0,2018,USA,10.661528740131983
India,17900000000.0,2018,IND,10.252853030979892
Japan,16530000000.000002,2018,JPN,10.218272853571447
Thailand,13450000000.0,2018,THA,10.128722284338426
Singapore,12330000000.0,2018,SGP,10.090963076595731
"Other Asia, nes",11730000000.0,2018,,10.06929801211553
Vietnam,10660000000.0,2018,VNM,10.027757204690554
Germany,9720000000.0,2018,DEU,9.987666264926274
Netherlands,9110000000.0,2018,NLD,9.959518376972998
South Korea,7800000000.0,2018,KOR,9.89209460269048
United Arab Emirates,7570000000.0,2018,ARE,9.879095879500072
United Kingdom,6400000000.0,2018,GBR,9.806179973983888
Macau,6300000000.0,2018,MAC,9.799340549453582
Switzerland,5810000000.0,2018,CHE,9.76417613239033
Australia,4620000000.0,2018,AUS,9.664641975556126
France,4560000000.0,2018,FRA,9.658964842664435
Malaysia,4480000000.0,2018,MYS,9.651278013998144
Mexico,4390000000.0,2018,MEX,9.642464520242122
Philippines,3860000000.0,2018,PHL,9.586587304671754
Russia,3730000000.0,2018,RUS,9.571708831808687
Italy,3620000000.0,2018,ITA,9.558708570533165
Indonesia,3190000000.0,2018,IDN,9.503790683057181
Belgium,2660000000.0,2018,BEL,9.424881636631067
Canada,2360000000.0,2018,CAN,9.372912002970107
Spain,2170000000.0,2018,ESP,9.33645973384853
Israel,2150000000.0,2018,ISR,9.332438459915606
Hungary,1950000000.0,2018,HUN,9.290034611362518
Bangladesh,1830000000.0,2018,BGD,9.26245108973043
Czech Republic,1730000000.0,2018,CZE,9.238046103128795
Poland,1670000000.0,2018,POL,9.222716471147583
Brazil,1600000000.0,2018,BRA,9.204119982655925
South Africa,1360000000.0,2018,ZAF,9.133538908370218
Turkey,1050000000.0,2018,TUR,9.021189299069938
Saudi Arabia,1000000000.0,2018,SAU,9.0
Cambodia,965330000.0,2018,KHM,8.984675803167216
Egypt,890910000.0,2018,EGY,8.949833833691677
Sweden,844930000.0,2018,SWE,8.926820730401763
Austria,808280000.0,2018,AUT,8.907561832791997
Colombia,794180000.0,2018,COL,8.899918945937374
Nigeria,791550000.0,2018,NGA,8.898478353232806
Pakistan,772610000.0,2018,PAK,8.8879603249798
Chile,755450000.0,2018,CHL,8.8782057255345
New Zealand,660570000.0,2018,NZL,8.81991884617903
Sri Lanka,519559999.99999994,2018,LKA,8.71563570812853
Peru,514830000.00000006,2018,PER,8.711663846031191
Argentina,481720000.0,2018,ARG,8.682794677681105
Romania,476960000.0,2018,ROU,8.678481958688556
Denmark,464070000.0,2018,DNK,8.666583494177326
Finland,389080000.0,2018,FIN,8.590038907203445
Portugal,375080000.0,2018,PRT,8.574123907335984
Qatar,325410000.0,2018,QAT,8.512430894876465
Ireland,313430000.0,2018,IRL,8.49614056268429
Ukraine,311850000.0,2018,UKR,8.49394574838715
Togo,308200000.0,2018,TGO,8.488832634382401
Slovakia,274530000.0,2018,SVK,8.438589810070448
Panama,262040000.00000003,2018,PAN,8.418367590759903
Myanmar,256000000.0,2018,MMR,8.40823996531185
Lithuania,239350000.0,2018,LTU,8.379033431817968
Iran,230900000.0,2018,IRN,8.363423932917176
Jordan,224520000.0,2018,JOR,8.351255033547634
Nepal,221090000.0,2018,NPL,8.344569099688464
